"year","president"
1790,"George Washington"
1791,"George Washington"
1792,"George Washington"
1793,"George Washington"
1794,"George Washington"
1795,"George Washington"
1796,"George Washington"
1797,"John Adams"
1798,"John Adams"
1799,"John Adams"
1800,"John Adams"
1801,"Thomas Jefferson"
1802,"Thomas Jefferson"
1803,"Thomas Jefferson"
1804,"Thomas Jefferson"
1805,"Thomas Jefferson"
1806,"Thomas Jefferson"
1807,"Thomas Jefferson"
1808,"Thomas Jefferson"
1809,"James Madison"
1810,"James Madison"
1811,"James Madison"
1812,"James Madison"
1813,"James Madison"
1814,"James Madison"
1815,"James Madison"
1816,"James Madison"
1817,"James Monroe"
1818,"James Monroe"
1819,"James Monroe"
1820,"James Monroe"
1821,"James Monroe"
1822,"James Monroe"
1823,"James Monroe"
1824,"James Monroe"
1825,"John Quincy Adams"
1826,"John Quincy Adams"
1827,"John Quincy Adams"
1828,"John Quincy Adams"
1829,"Andrew Jackson"
1830,"Andrew Jackson"
1831,"Andrew Jackson"
1832,"Andrew Jackson"
1833,"Andrew Jackson"
1834,"Andrew Jackson"
1835,"Andrew Jackson"
1836,"Andrew Jackson"
1837,"Martin Van Buren"
1838,"Martin Van Buren"
1839,"Martin Van Buren"
1840,"Martin Van Buren"
1841,"John Tyler"
1842,"John Tyler"
1844,"John Tyler"
1845,"James K. Polk"
1846,"James K. Polk"
1847,"James K. Polk"
1848,"James K. Polk"
1849,"Zachary Taylor"
1850,"Millard Fillmore"
1851,"Millard Fillmore"
1852,"Millard Fillmore"
1853,"Franklin Pierce"
1854,"Franklin Pierce"
1855,"Franklin Pierce"
1856,"Franklin Pierce"
1857,"James Buchanan"
1858,"James Buchanan"
1859,"James Buchanan"
1860,"James Buchanan"
1861,"Abraham Lincoln"
1862,"Abraham Lincoln"
1863,"Abraham Lincoln"
1864,"Abraham Lincoln"
1865,"Andrew Johnson"
1866,"Andrew Johnson"
1867,"Andrew Johnson"
1868,"Andrew Johnson"
1869,"Ulysses S. Grant"
1870,"Ulysses S. Grant"
1871,"Ulysses S. Grant"
1872,"Ulysses S. Grant"
1873,"Ulysses S. Grant"
1874,"Ulysses S. Grant"
1875,"Ulysses S. Grant"
1876,"Ulysses S. Grant"
1877,"Rutherford B. Hayes"
1878,"Rutherford B. Hayes"
1879,"Rutherford B. Hayes"
1880,"Rutherford B. Hayes"
1881,"Chester A. Arthur"
1882,"Chester A. Arthur"
1883,"Chester A. Arthur"
1884,"Chester A. Arthur"
1885,"Grover Cleveland"
1886,"Grover Cleveland"
1887,"Grover Cleveland"
1888,"Grover Cleveland"
1889,"Benjamin Harrison"
1890,"Benjamin Harrison"
1891,"Benjamin Harrison"
1892,"Benjamin Harrison"
1897,"William McKinley"
1898,"William McKinley"
1899,"William McKinley"
1900,"William McKinley"
1901,"Theodore Roosevelt"
1902,"Theodore Roosevelt"
1903,"Theodore Roosevelt"
1904,"Theodore Roosevelt"
1905,"Theodore Roosevelt"
1906,"Theodore Roosevelt"
1907,"Theodore Roosevelt"
1908,"Theodore Roosevelt"
1909,"William Howard Taft"
1910,"William Howard Taft"
1911,"William Howard Taft"
1912,"William Howard Taft"
1913,"Woodrow Wilson"
1914,"Woodrow Wilson"
1915,"Woodrow Wilson"
1916,"Woodrow Wilson"
1917,"Woodrow Wilson"
1918,"Woodrow Wilson"
1919,"Woodrow Wilson"
1920,"Woodrow Wilson"
1921,"Warren G. Harding"
1922,"Warren G. Harding"
1923,"Calvin Coolidge"
1924,"Calvin Coolidge"
1925,"Calvin Coolidge"
1926,"Calvin Coolidge"
1927,"Calvin Coolidge"
1928,"Calvin Coolidge"
1929,"Herbert Hoover"
1930,"Herbert Hoover"
1931,"Herbert Hoover"
1932,"Herbert Hoover"
1934,"Franklin D. Roosevelt"
1935,"Franklin D. Roosevelt"
1936,"Franklin D. Roosevelt"
1937,"Franklin D. Roosevelt"
1938,"Franklin D. Roosevelt"
1939,"Franklin D. Roosevelt"
1940,"Franklin D. Roosevelt"
1941,"Franklin D. Roosevelt"
1942,"Franklin D. Roosevelt"
1943,"Franklin D. Roosevelt"
1944,"Franklin D. Roosevelt"
1945,"Franklin D. Roosevelt"
1946,"Harry S. Truman"
1947,"Harry S. Truman"
1948,"Harry S. Truman"
1949,"Harry S. Truman"
1950,"Harry S. Truman"
1951,"Harry S. Truman"
1952,"Harry S. Truman"
1953,"Harry S. Truman"
1954,"Dwight D. Eisenhower"
1955,"Dwight D. Eisenhower"
1956,"Dwight D. Eisenhower"
1957,"Dwight D. Eisenhower"
1958,"Dwight D. Eisenhower"
1959,"Dwight D. Eisenhower"
1960,"Dwight D. Eisenhower"
1961,"John F. Kennedy"
1962,"John F. Kennedy"
1963,"John F. Kennedy"
1964,"Lyndon B. Johnson"
1965,"Lyndon B. Johnson"
1966,"Lyndon B. Johnson"
1967,"Lyndon B. Johnson"
1968,"Lyndon B. Johnson"
1969,"Lyndon B. Johnson"
1970,"Richard Nixon"
1971,"Richard Nixon"
1972,"Richard Nixon"
1973,"Richard Nixon"
1974,"Richard Nixon"
1975,"Gerald Ford"
1976,"Gerald Ford"
1977,"Gerald Ford"
1978,"Jimmy Carter"
1979,"Jimmy Carter"
1980,"Jimmy Carter"
1981,"Jimmy Carter"
1982,"Ronald Reagan"
1983,"Ronald Reagan"
1984,"Ronald Reagan"
1985,"Ronald Reagan"
1986,"Ronald Reagan"
1987,"Ronald Reagan"
1988,"Ronald Reagan"
1990,"George H. W. Bush"
1991,"George H. W. Bush"
1992,"George H. W. Bush"
1994,"Bill Clinton"
1995,"Bill Clinton"
1996,"Bill Clinton"
1997,"Bill Clinton"
1998,"Bill Clinton"
1999,"Bill Clinton"
2000,"Bill Clinton"
2001,"George W. Bush"
2002,"George W. Bush"
2003,"George W. Bush"
2004,"George W. Bush"
2005,"George W. Bush"
2006,"George W. Bush"
2007,"George W. Bush"
2008,"George W. Bush"
2009,"Barack Obama"
